from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,r_balance_in_rub,balance_in_val,r_balance_in_val,balance_in_total,r_balance_in_total,turn_deb_rub,r_turn_deb_rub,turn_deb_val,r_turn_deb_val,turn_deb_total,r_turn_deb_total,turn_cre_rub,r_turn_cre_rub,turn_cre_val,r_turn_cre_val,turn_cre_total,r_turn_cre_total,balance_out_rub,r_balance_out_rub,balance_out_val,r_balance_out_val,balance_out_total,r_balance_out_total
2018-01-01,2018-01-31,А,30223,П,814659,,0,,814659,,6349678,,0,,6349678,,15781777,,0,,15781777,,161160342,,0,,161160342,
2018-01-01,2018-01-31,А,30425,А,87620,,0,,87620,,0,,0,,,,0,,0,,,,87620,,0,,87620,
2018-01-01,2018-01-31,А,30109,П,63892,,0,,63892,,0,,0,,,,0,,0,,,,63892,,0,,63892,
2018-01-01,2018-01-31,А,30221,А,69885,,0,,69885,,0,,0,,,,0,,0,,,,69885,,0,,69885,
2018-01-01,2018-01-31,А,30413,А,2916843,,0,,2916843,,2098782,,0,,2098782,,2382487,,0,,2382487,,-1906142,,0,,-1906142,
2018-01-01,2018-01-31,А,30236,П,39071,,0,,39071,,0,,0,,,,0,,0,,,,39071,,0,,39071,
2018-01-01,2018-01-31,А,30126,П,67224,,0,,67224,,0,,0,,,,0,,0,,,,67224,,0,,67224,
2018-01-01,2018-01-31,А,30110,А,7781667,,0,,7781667,,373333,,0,,373333,,1083668,,0,,1083668,,2425252,,0,,2425252,
2018-01-01,2018-01-31,А,30204,А,5542,,0,,5542,,149647,,0,,149647,,,,0,,,,155189,,0,,155189,
2018-01-01,2018-01-31,А,30202,А,129554,,0,,129554,,,,0,,,,93820,,0,,93820,,35734,,0,,35734,
2018-01-01,2018-01-31,А,30102,А,3401354050,,0,,3401354050,,625440429,,0,,625440429,,787848410,,0,,787848410,,640418373,,0,,640418373,
2018-01-01,2018-01-31,А,30111,П,2058498124,,0,,2058498124,,262884228,,0,,262884228,,172294954,,0,,172294954,,566178542,,0,,566178542,
2018-01-01,2018-01-31,А,30424,А,127251841,,0,,127251841,,4414156,,0,,4414156,,9299233,,0,,9299233,,44849532,,0,,44849532,
2018-01-01,2018-01-31,А,30232,П,86905,,0,,86905,,0,,0,,,,0,,0,,,,86905,,0,,86905,
2018-01-01,2018-01-31,А,30233,А,58967,,0,,58967,,0,,0,,,,0,,0,,,,58967,,0,,58967,
2018-01-01,2018-01-31,А,30222,П,215770,,0,,215770,,0,,0,,,,0,,0,,,,215770,,0,,215770,
